Issue ID,Issue,Issue description,#Comments,Reported date,Fixed date,DateDiff (days),Issue Type,#Contributors,Priority
251355,Remove dependencies on FontPlatformDataChromiumWin::hfont(),"FontPlatformDataChromiumWin currently exposes the underlying hfont. This makes the underlying implementation leak through the skia abstraction and makes the direct write transition harder.

We should try to remove all direct uses of HFONT in the blink code.",19,6/19/2013,3/1/2014,255,Bug,2,2
255712,breakpad_unittests don't build on Android on at breakpad head,"https://breakpad.appspot.com/550002/ doesn't build on Android.

Does it make sense to build breakpad_unittests on Android? What about linux_ptrace_dumper_unittest.cc?",15,6/29/2013,7/2/2013,3,Bug,6,2
257520,A transition of width: auto to a fixed width computes auto as zero.,"Migrated from WebKit Bugzilla: https://bugs.webkit.org/show_bug.cgi?id=16020
Originally reported 2007-11-16 14:25 PST by Timothy Hatcher (timothy@apple.com).
Keywords: InRadar


Description:
A transition of width: auto to a fixed width computes auto as zero. See attached test case.


Blocks:
[http://wkb.ug/46590] NEW - [Meta] Make CSS in WebKit more awesome

Attachments:
2007-11-16 14:25 PST: Testcase [https://bugs.webkit.org/attachment.cgi?id=17321&action=prettypatch]
2008-02-20 13:19 PST: Test case from related Radar, includes both % and auto widths. [https://bugs.webkit.org/attachment.cgi?id=19236&action=prettypatch]



Comments:
================================

Comment #1
Posted on 2007-11-16 14:25:46 PST by Timothy Hatcher (timothy@apple.com)

Created an attachment (id=17321) [https://bugs.webkit.org/attachment.cgi?id=17321] [details] [https://bugs.webkit.org/attachment.cgi?id=17321&action=edit]
Testcase

================================

Comment #2
Posted on 2007-12-14 18:31:11 PST by Dave Hyatt (hyatt@apple.com)

This is tricky, since animation happens on RenderStyles, so a layout would actually be required in order to determine what the auto width value at the destination is going to be.

================================

Comment #3
Posted on 2008-02-20 13:15:10 PST by James Craig (james@cookiecrook.com)

Adding Radar I filed a while back.
<rdar://problem/5639997> transition fails when animating between different size units (e.g. px and %)

================================

Comment #4
Posted on 2008-02-20 13:19:01 PST by James Craig (james@cookiecrook.com)

Created an attachment (id=19236) [https://bugs.webkit.org/attachment.cgi?id=19236] [details] [https://bugs.webkit.org/attachment.cgi?id=19236&action=edit]
Test case from related Radar, includes both % and auto widths.

Adding test case from related Radar, includes both % and auto widths.

================================

Comment #5
Posted on 2008-04-25 08:40:06 PST by mitz@webkit.org (mitz@webkit.org)

*** Bug 18726 [https://bugs.webkit.org/show_bug.cgi?id=18726] has been marked as a duplicate of this bug. ***

================================

Comment #6
Posted on 2009-01-09 17:44:21 PST by Simon Fraser (smfr) (simon.fraser@apple.com)

<rdar://problem/5639997>

================================

Comment #7
Posted on 2009-02-27 10:29:14 PST by Simon Fraser (smfr) (simon.fraser@apple.com)

Comment from Dave Hyatt on the w3-style list:

This is right. In WebKit, we transition on the computed value of a property (not the specified value or used value). Note that there have been requests to transition on the used value instead, the most obvious example being wanting to transition from, e.g., width:100% to width:50px. If you transition on the computed value, then it's impossible to run an animation from width:auto to width:50px or from width:50% to width:80px, etc.

The problem with transitioning on the used value, though, is it can change when your style hasn't.... if you resize a window that contains a width:auto or width:100% block for example. Obviously you don't want to run a transition in that case.

My own preference would be (for simplicity) to just stick with transitioning on the computed value and to just say ""Tough"" to people who want to animate width this way, but maybe others disagree. We continue to get bugs in WebKit from confused people trying to animate auto widths to fixed values (or percents to fixed values) and not understanding why it doesn't work.

================================

Comment #8
Posted on 2009-11-29 15:03:26 PST by Michael Kozakewich (mkozakewich@icosidodecahedron.com)

*** Bug 31957 [https://bugs.webkit.org/show_bug.cgi?id=31957] has been marked as a duplicate of this bug. ***

================================

Comment #9
Posted on 2010-01-07 14:13:47 PST by Maciej Stachowiak (mjs@apple.com)

How about we animate on the used value but only when the computed value changes?

================================

Comment #10
Posted on 2010-01-07 14:53:11 PST by Faruk Ates (farukates@me.com)

Isn't the computed value internally kept as a pixel value no matter what the unit is? Wouldn't that mean that a change from width:80px to width:auto could do a non-transitioned lookup to see what pixel value ""auto"" currently computes to, and transition to that?

I'm probably not understanding it, but it seems weird that every Javascript library in the world that does this has it figured out, but a hardware accelerated implementation can't?

================================

Comment #11
Posted on 2010-01-20 08:58:29 PST by Sidney San Martín (s+webkit@sidneysm.com)

> My own preference would be (for simplicity) to just stick with transitioning on
the computed value and to just say ""Tough"" to people who want to animate width
this way, but maybe others disagree.

Many use cases for CSS transitions and animations include starting and ending at a computed value — showing and hiding content is a huge one.

Also, treating computed values as zero is never going to be the right behavior. If this isn't going to be fixed, then trying to animate a computed property should kill the animation entirely.

================================

Comment #12
Posted on 2010-01-20 09:45:47 PST by Faruk Ates (farukates@me.com)

I think not fixing this bug would be a grave mistake; this is the #1 use case for animation libraries used on the Web today, and thus, the #1 use case for the CSS Transitions implementation. And it is broken in CSS Transitions.

================================

Comment #13
Posted on 2010-09-27 14:17:09 PST by Simon Fraser (smfr) (simon.fraser@apple.com)

Dave Hyatt and I talked about how we might fix this. We'd have to do a layout at the start of the animation to compute the end state, but this might not work in some cases.

================================

Comment #14
Posted on 2010-12-01 12:08:20 PST by Simon Fraser (smfr) (simon.fraser@apple.com)

*** Bug 35816 [https://bugs.webkit.org/show_bug.cgi?id=35816] has been marked as a duplicate of this bug. ***

================================

Comment #15
Posted on 2011-01-11 20:13:01 PST by Simon Fraser (smfr) (simon.fraser@apple.com)

*** Bug 52245 [https://bugs.webkit.org/show_bug.cgi?id=52245] has been marked as a duplicate of this bug. ***

================================

Comment #16
Posted on 2011-02-24 10:59:12 PST by Simon Fraser (smfr) (simon.fraser@apple.com)

*** Bug 55137 [https://bugs.webkit.org/show_bug.cgi?id=55137] has been marked as a duplicate of this bug. ***

================================

Comment #17
Posted on 2011-04-27 11:15:48 PST by Sam Tsai (samtsai@gmail.com)

Has there been any progress on this bug? Or are there alternate solutions that we could work towards?

================================

Comment #18
Posted on 2011-07-25 12:16:03 PST by Simon Fraser (smfr) (simon.fraser@apple.com)

*** Bug 65067 [https://bugs.webkit.org/show_bug.cgi?id=65067] has been marked as a duplicate of this bug. ***",4,7/5/2013,12/3/2013,151,Bug,1,2
262896,Play button in audio/video control remains highlighted,"Version: <30.0.1571.0>
OS: <Linux Ubuntu 12.04>

What steps will reproduce the problem?
1.Open the link http://www.russianlessons.net/audio/audio-test.php.
2.Now click on play option of any of the audio test. 
3.Go to any other tab and then come back to the previous tab(audio-test). 

What is the expected output? 
The play option should not remain highlighted.

What do you see instead?
The play option remains highlighted.",8,7/22/2013,7/24/2013,2,Bug-regression,9,1
263415,Fire all-null 'ondevicemotion' events only once.,"According to the specification http://dev.w3.org/geo/api/spec-source-orientation.html if a device cannot provide any motion information (e.g. neither accelerometer nor gyroscope) an all-null event should be fired.

The firing of the all-null event should happen only once to save battery and cpu resources. The specification is being amended to include this requirement explicitly.",3,7/24/2013,8/24/2013,31,Bug,4,2
267360,"WebIDL's ""long"" should map to ""int32"" in C++","WebIDL defines |long| as being a 32 bit unsigned value.

However in C++, ""long"" is a 64-bit value.

There is widespread confusion throughout the Blink code between the *.idl files and *.h:

* using ""long"" instead of ""int""
* using ""long long"" instead of ""long""
* using ""unsigned long"" instead of ""unsigned""
* using ""unsigned long long"" instead of ""unsigned long""

At best this is a waste of memory. At worst, the narrowing from an 8-byte number to a 4-byte number is causing subtle problems.

Here is a non-exhaustive survey I did of the code that has this problem:

* Source/core/xml/XMLHttpRequest.idl vs Source/core/xml/XMLHttpRequest.h (timeout)

* Source/core/xml/XPathResult.idl vs Source/core/xml/XPathResult.h (snapshotLength)

* Source/modules/speech/SpeechSynthesisEvent.idl vs Source/modules/speech/SpeechSynthesisEvent.h (charIndex)

* Source/modules/speech/SpeechRecognitionResultList.idl vs Source/modules/speech/SpeechRecognitionResultList.h (length)

* Source/modules/speech/SpeechRecognitionResult.idl vs Source/modules/speech/SpeechRecognitionResult.h (length)

* Source/modules/speech/SpeechGrammarList.idl vs Source/modules/speech/SpeechGrammarList.h (length)

* Source/modules/speech/SpeechRecognition.idl vs Source/modules/speech/SpeechRecognition.h (maxAlternatives)

* Source/modules/indexeddb/IDBCursor.idl vs Source/modules/indexeddb/IDBCursor.h (advance)

* Source/modules/indexeddb/IDBFactory.idl vs Source/modules/indexeddb/IDBFactory.h (open)

* Source/modules/websockets/WebSocket.idl vs Source/modules/websockets/WebSocket.h (bufferedAmount)

* Source/modules/webaudio/AudioDestinationNode.idl vs ource/modules/webaudio/AudioDestinationNode.h (maxChannelCount)

* Source/modules/webaudio/AudioContext.idl vs Source/modules/webaudio/AudioContext.h (activeSourceCount)

* Source/modules/gamepad/Gamepad.idl vs Source/modules/gamepad/Gamepad.h (timestamp)

* Source/modules/mediastream/RTCDataChannel.idl vs Source/modules/mediastream/RTCDataChannel.h (bufferedAmount)

* Source/modules/webdatabase/WorkerGlobalScopeWebDatabase.idl vs Source/modules/webdatabase/WorkerGlobalScopeWebDatabase.h (estimatedSize)

* Source/modules/mediasource/SourceBufferList.idl vs Source/modules/mediasource/SourceBufferList.h (length)

* Source/core/html/track/TextTrackRegion.idl vs ource/core/html/track/TextTrackRegion.h (height)

* Source/modules/filesystem/FileWriterSync.idl vs Source/modules/filesystem/FileWriterSync.h (seek)

* Source/modules/mediastream/RTCDTMFSender.idl vs Source/modules/mediastream/RTCDTMFSender.h (duration)

* Source/modules/webdatabase/SQLResultSet.idl vs Source/modules/webdatabase/SQLResultSet.h (insertId)",19,8/2/2013,8/28/2015,756,Bug,3,2
268064,Write client-side automated integration tests for policy to send Network Interface data to DMS,"Note: This is finished. I'm entering task for reporting completeness.

Write automated integration tests for new/changed code written for the new Network Interface reporting feature, and in particular the ReportDeviceNetworkInterfaces device policy. Tests should be written as browsertests, if possible, so they can be run in BVT.

Automated test(s) are required during Go/NoGo reviwew, before the new feature will be approved for inclusion in a release.",3,8/4/2013,8/4/2013,0,Bug,1,1
268122,sourceforge_url in DEPS file is old and causes problems vs using their new SVN server host URL,"Concerning: 
""sourceforge_url"": ""http://%(repo)s.svn.sourceforge.net/svnroot/%(repo)s"", 
line in the DEPS file which goes to https://jsoncpp.svn.sourceforge.net/svnroot/jsoncpp/ 

I am suggesting to update the SVN checkout URL from that old 1.6.9 SVN server to the new 1.7.7 SVN sourceforge server URL here: 
""sourceforge_url"": ""http://svn.code.sf.net/p/%(repo)s/code"", 
which points to the new proper and official updated trunk http://svn.code.sf.net/p/jsoncpp/code/

Their reference checkout URL on the main code page: http://sourceforge.net/p/jsoncpp/code/268/tree/trunk/jsoncpp/ is also
""svn checkout http://svn.code.sf.net/p/jsoncpp/code/trunk jsoncpp-code""

Mainly I wasn't able to checkout my chromium source tree from the old URL earlier today for 2-3 hours because of that old server messing up and being inaccessible to me. 

Once I changed to the new URL everything went beautifully.

Also I have had to nuke that src/third_party/jsoncpp source directory unusually often, I believe it's from dev's having a mix/match of SVN entries coming from that old server or maybe the way sourceforge serves the wrong version of the SVN server during checkouts corrupting the .svn files forcing many nukes once a week or two.


Patch basically =
- ""sourceforge_url"": ""http://%(repo)s.svn.sourceforge.net/svnroot/%(repo)s"",
+ ""sourceforge_url"": ""http://svn.code.sf.net/p/%(repo)s/code"",",9,8/4/2013,8/6/2013,2,Bug,2,2
280428,CQ merges changes immediately after GoB migration,"consider:
https://chromium-review.googlesource.com/#/c/66709/

it was marked ready and then immediately merged w/out going through the CQ",19,8/28/2013,8/29/2013,1,Bug,5,0
288019,WEBPImageDecoder.cpp uses unreleased libwebp features,"Here's what I get when trying to compile against libwebp-0.3.1:

../../third_party/WebKit/Source/core/platform/image-decoders/webp/WEBPImageDecoder.cpp: In member function ‘bool WebCore::WEBPImageDecoder::updateDemuxer()’:
../../third_party/WebKit/Source/core/platform/image-decoders/webp/WEBPImageDecoder.cpp:248:69: error: ‘WebPIterator’ has no member named ‘blend_method’
../../third_party/WebKit/Source/core/platform/image-decoders/webp/WEBPImageDecoder.cpp:248:85: error: ‘WEBP_MUX_BLEND’ was not declared in this scope
../../third_party/WebKit/Source/core/platform/image-decoders/webp/WEBPImageDecoder.cpp:256:109: error: ‘WebPIterator’ has no member named ‘has_alpha’

I think this was introduced in https://chromiumcodereview.appspot.com/22802020 as a cherry-pick from upstream git.

It's obviously fine to let this bake for a while in our repo, but ideally libwebp should make a release with this code before M31 hits stable.

It seems I can't assign it to Urvang, so trying Frank first - could you help route this to the right people?",10,9/10/2013,1/8/2014,120,Bug,3,2
297976,Heap-buffer-overflow in bool WebCore::SelectorChecker::checkOne<WebCore::DOMSiblingTraversalStrategy>,"Detailed report: https://cluster-fuzz.appspot.com/testcase?key=5095766968238080

Fuzzer: Ifratric-browserfuzzer-v3
Job Type: Linux_asan_chrome_mp

Crash Type: Heap-buffer-overflow READ 4
Crash Address: 0x60200002c460
Crash State:
- crash stack -
bool WebCore::SelectorChecker::checkOne<WebCore::DOMSiblingTraversalStrategy>
WebCore::SelectorChecker::Match WebCore::SelectorChecker::match<WebCore::DOMSiblingTraversalStrategy
WebCore::ElementRuleCollector::ruleMatches

Regressed: https://cluster-fuzz.appspot.com/revisions?range=221446:221565

Minimized Testcase (1.08 Kb): https://cluster-fuzz.appspot.com/download/AMIfv96IHKiyGMulM-Pct4NQyaG7R6ANggNbkyYO8xepgg6f-tYh8qOG-N6uqiQ_sck0hFLphFQFKTKop-78aq9lS7mnr6Vyf3p0h9SZGZ3JYF3U-Kt0bnd_uReVCHFuImh10X2XbrMqZTXJj79pTdzlBaTobaeMlg",28,9/25/2013,10/30/2013,35,Bug-security,6,0
310330,fast/dom/HTMLDialogElement/form-method-dialog.html is flaky/timeout on all platforms,"fast/dom/HTMLDialogElement/form-method-dialog.html is flaky/timeout on all platforms

http://test-results.appspot.com/dashboards/flakiness_dashboard.html#tests=fast%2Fdom%2FHTMLDialogElement%2Fform-method-dialog.html",8,10/23/2013,10/24/2013,1,Bug,3,2
314501,chromiumos-status.appspot.com improvements,tracker bug for various improvements,3,11/4/2013,12/18/2013,44,Feature,1,2
315004,CL 56883003 breaks all V8 standalone win and mac builders,"The following commit https://codereview.chromium.org/56883003/ breaks the v8 builders on win and mac, see e.g. here: http://chromegw.corp.google.com/i/client.v8/builders/V8%20Mac/builds/7687

On the v8 waterfall we use the --build-dir flag. It might have something to do with making clobber work on the v8 directory layout. I'll investigate for a quick fix, otherwise there is no win and mac coverage on the v8 waterfall.",32,11/5/2013,12/10/2013,35,-,3,2
315093,chrome does not pick up the right associate device when there are multiple associated devices.,"Version: 
OS: Mac

What steps will reproduce the problem?
1. use a mac station machine with a built-in device.
2. go to http://webrtc.googlecode.com/svn/trunk/samples/js/demos/html/local-audio-rendering.html
3. use the built-in device and start a call

What is the expected output? What do you see instead?
You should hear audio.
But no sound.

The problem is that when a device has multiple associated devices, we simply pick up the first one, this will lead to no audio when the device has no speaker or headset pluggin.",2,11/6/2013,11/8/2013,2,Bug,4,1
315178,Assertion hit in EventSource::abortConnectionAttempt(),"We hit the following assertion in EventSource::abortConnectionAttempt() under certain circumstances:
STDERR: ASSERTION FAILED: m_requestInFlight
STDERR: ../../third_party/WebKit/Source/core/page/EventSource.cpp(309) : void WebCore::EventSource::abortConnectionAttempt()
STDERR: Received signal 11 SEGV_MAPERR 0000bbadbeef
STDERR: [0x000000685010] base::debug::StackTrace::StackTrace()
STDERR: [0x0000006848f5] base::debug::(anonymous namespace)::StackDumpSignalHandler()
STDERR: [0x7f3b879f4bd0] <unknown>
STDERR: [0x00000489aadf] WebCore::EventSource::abortConnectionAttempt()
STDERR: [0x00000489aa0a] WebCore::EventSource::didFailAccessControlCheck()
STDERR: [0x00000199f4c0] WebCore::DocumentThreadableLoader::makeSimpleCrossOriginAccessRequest()
STDERR: [0x00000199f1c1] WebCore::DocumentThreadableLoader::makeCrossOriginAccessRequest()
STDERR: [0x00000199f054] WebCore::DocumentThreadableLoader::DocumentThreadableLoader()
STDERR: [0x00000199ebf6] WebCore::DocumentThreadableLoader::create()
STDERR: [0x000001c671bd] WebCore::ThreadableLoader::create()
STDERR: [0x000004899e25] WebCore::EventSource::connect()
STDERR: [0x00000489983d] WebCore::EventSource::create()
STDERR: [0x00000224d2ed] WebCore::EventSourceV8Internal::constructor()
STDERR: [0x00000224d6bc] WebCore::V8EventSource::constructorCallback()
STDERR: [0x00000153527f] v8::internal::FunctionCallbackArguments::Call()
STDERR: [0x0000010e50ac] v8::internal::Builtin_HandleApiCallConstruct()
STDERR: [0x359fe240824e] <unknown>

This happens when attempting a cross-origin request towards a non-HTTP URL, an early verification of the protocol scheme will cause didFailAccessControlCheck to be called synchronously before the loader has even finished being created. This special case was not handled properly, since we tried to cancel a non-existing loader, which resulted in a crash.

This issue was fixed a while back in WebKit but never cherry-picked to Blink:
http://trac.webkit.org/changeset/149098",2,11/6/2013,11/7/2013,1,Bug,2,2
320933,chromium.perf 64-bit builder needs MSVS2012,"The 64-bit build requires MSVS 2012. We've just changed the build to official, and now it is complaining.

http://build.chromium.org/p/chromium.perf/builders/Win%20x64%20Builder/builds/2584/steps/compile/logs/stdio

Sorry for the fire drill, but I wonder if it would be possible to install MSVS 2012 on this machine rather than reverting and restarting again? Probably fine if we can do it in the next couple of days.",22,11/19/2013,12/5/2013,16,Bug-regression,10,0
327311,Add 3x pixel density support for Nexus 5,"See https://codereview.chromium.org/96533003/

Notes from aruslan@:

The reason is that for adding 3x pixel density, I'd open an official bug that
would track at least
- memory consumption stats,
- favicons (shouldn't be affected but you never know),
- application shortcuts and ActivityManager
getLauncherLargeIconSize/getLauncherLargeIconDensity,
- any compositor glitches due to inexact 1/3 vs exact 1/2,
- any other Android-specific code that fails to work correctly with 3.0.",5,12/10/2013,12/11/2013,1,Bug,3,2
327892,[CSS Shapes] Add FloatRoundedRect unit tests,The need for this unit test was reported here: https://codereview.chromium.org/108913002.,2,12/12/2013,2/19/2014,69,Bug,1,2
329020,Settings access with CrOS multiprofile,"Design needed to show/hide settings options at session level on ChromeOS when multiple users are signed in. (Secondary accounts will not be able to alter all settings.)

This is a temporary implementation until app launches in M35.",10,12/17/2013,2/5/2014,50,Bug,4,2
331580,Chrome: Crash Report - Magic Signature: blink::FrameLoaderClientImpl::detachedFromP...,"Product: Chrome
Stack Signature: blink::FrameLoaderClientImpl::detachedFromParent()-18654FF
New Signature Label: blink::FrameLoaderClientImpl::detachedFromParent()
New Signature Hash: 6b5ec7ca_cfcebc1a_5d5ea370_ffa0d205_2d2d6877

Report link: http://go/crash-old/reportdetail?reportid=159282df15eda491

Meta information:
Product Name: Chrome
Product Version: 34.0.1768.0
Report ID: 159282df15eda491
Report Time: 2014/01/03 21:00:04, Fri
Uptime: 235 sec
Cumulative Uptime: 0 sec
OS Name: Windows NT
OS Version: 6.1.7601 Service Pack 1
CPU Architecture: x86
CPU Info: GenuineIntel family 6 model 37 stepping 5

Thread 0 *CRASHED* ( EXCEPTION_ACCESS_VIOLATION_READ @ 0x00000000 )

0x6d449e37 [chrome_child.dll] - frameloaderclientimpl.cpp:267] blink::FrameLoaderClientImpl::detachedFromParent()
0x6d446641 [chrome_child.dll] - frameloader.cpp:1153] WebCore::FrameLoader::detachFromParent()
0x6d44646d [chrome_child.dll] - frameloader.cpp:1108] WebCore::FrameLoader::frameDetached()
0x6d4463f1 [chrome_child.dll] - webviewimpl.cpp:1530] blink::WebViewImpl::close()
0x6ddd8829 [chrome_child.dll] - print_web_view_helper.cc:458] printing::PrintWebViewHelper::PrintHeaderAndFooter(SkCanvas *,int,int,float,printing::PageSizeMargins const &,base::DictionaryValue const &,PrintMsg_Print_Params const &)
0x6ddf579b [chrome_child.dll] - print_web_view_helper_win.cc:192] printing::PrintWebViewHelper::RenderPage(PrintMsg_Print_Params const &,int,blink::WebFrame *,bool,printing::Metafile *,double *,gfx::Size *,gfx::Rect *)
0x6ddf59b0 [chrome_child.dll] - print_web_view_helper_win.cc:107] printing::PrintWebViewHelper::RenderPreviewPage(int,PrintMsg_Print_Params const &)
0x6dddaf12 [chrome_child.dll] - print_web_view_helper.cc:1064] printing::PrintWebViewHelper::CreatePreviewDocument()
0x6dddb359 [chrome_child.dll] - print_web_view_helper.cc:1011] printing::PrintWebViewHelper::OnFramePreparedForPreviewDocument()
0x6ddd815c [chrome_child.dll] - print_web_view_helper.cc:668] printing::PrepareFrameAndViewForPrint::CallOnReady()
0x6ddd8011 [chrome_child.dll] - bind_internal.h:882] base::internal::InvokeHelper<1,void,base::internal::RunnableAdapter<void ( printing::PrepareFrameAndViewForPrint::*)(void)>,void (base::WeakPtr<printing::PrepareFrameAndViewForPrint> const &)>::MakeItSo(base::internal::RunnableAdapter<void ( printing::PrepareFrameAndViewForPrint::*)(void)>,base::WeakPtr<printing::PrepareFrameAndViewForPrint> const &)
0x6ddd83bb [chrome_child.dll] - bind_internal.h:1169] base::internal::Invoker<1,base::internal::BindState<base::internal::RunnableAdapter<void ( printing::PrepareFrameAndViewForPrint::*)(void)>,void (printing::PrepareFrameAndViewForPrint *),void (base::WeakPtr<printing::PrepareFrameAndViewForPrint>)>,void (printing::PrepareFrameAndViewForPrint *)>::Run(base::internal::BindStateBase *)
0x6d177eb7 [chrome_child.dll] - message_loop.cc:499] base::MessageLoop::RunTask(base::PendingTask const &)
0x6d1778bc [chrome_child.dll] - message_loop.cc:625] base::MessageLoop::DoWork()
0x6d179b13 [chrome_child.dll] - message_pump_default.cc:32] base::MessagePumpDefault::Run(base::MessagePump::Delegate *)
0x6d1774ff [chrome_child.dll] - message_loop.cc:449] base::MessageLoop::RunInternal()
0x6d177456 [chrome_child.dll] - run_loop.cc:47] base::RunLoop::Run()
0x6d1773cb [chrome_child.dll] - message_loop.cc:314] base::MessageLoop::Run()
0x6d1885a6 [chrome_child.dll] - renderer_main.cc:248] content::RendererMain(content::MainFunctionParams const &)
0x6d16e602 [chrome_child.dll] - content_main_runner.cc:472] content::RunNamedProcessTypeMain(std::basic_string<char,std::char_traits<char>,std::allocator<char> > const &,content::MainFunctionParams const &,content::ContentMainDelegate *)
0x6d16e566 [chrome_child.dll] - content_main_runner.cc:791] content::ContentMainRunnerImpl::Run()
0x6d15b1cf [chrome_child.dll] - content_main.cc:35] content::ContentMain(HINSTANCE__ *,sandbox::SandboxInterfaceInfo *,content::ContentMainDelegate *)
0x6d15ac14 [chrome_child.dll] - chrome_main.cc:33] ChromeMain
0x013b7b79 [chrome.exe] - client_util.cc:301] MainDllLoader::Launch(HINSTANCE__ *,sandbox::SandboxInterfaceInfo *)
0x013b6ec1 [chrome.exe] - chrome_exe_main_win.cc:68] `anonymous namespace'::RunChrome(HINSTANCE__ *)
0x013b6f49 [chrome.exe] - chrome_exe_main_win.cc:141] wWinMain
0x013d7a6e [chrome.exe] - crt0.c:275] __tmainCRTStartup
0x75ec3369 [kernel32.dll] + 0x00013369] BaseThreadInitThunk
0x77619f71 [ntdll.dll] + 0x00039f71] __RtlUserThreadStart
0x77619f44 [ntdll.dll] + 0x00039f44] _RtlUserThreadStart
Thread 1

0x775ff959 [ntdll.dll] + 0x0001f959] ZwRemoveIoCompletion
0x770176fc [KERNELBASE.dll] + 0x000076fc] GetQueuedCompletionStatus
0x6d17b05a [chrome_child.dll] - message_pump_win.cc:585] base::MessagePumpForIO::GetIOItem(unsigned long,base::MessagePumpForIO::IOItem *)
0x6d17af72 [chrome_child.dll] - message_pump_win.cc:550] base::MessagePumpForIO::WaitForIOCompletion(unsigned long,base::MessagePumpForIO::IOHandler *)
0x6d17aea0 [chrome_child.dll] - message_pump_win.cc:528] base::MessagePumpForIO::DoRunLoop()
0x6d17ad6f [chrome_child.dll] - message_pump_win.h:48] base::MessagePumpWin::Run(base::MessagePump::Delegate *)
0x6d1774ff [chrome_child.dll] - message_loop.cc:449] base::MessageLoop::RunInternal()
0x6d177456 [chrome_child.dll] - run_loop.cc:47] base::RunLoop::Run()
0x6d1773cb [chrome_child.dll] - message_loop.cc:314] base::MessageLoop::Run()
0x6d17b56e [chrome_child.dll] - thread.cc:172] base::Thread::Run(base::MessageLoop *)
0x6d17b51c [chrome_child.dll] - thread.cc:225] base::Thread::ThreadMain()
0x6d17b2d1 [chrome_child.dll] - platform_thread_win.cc:74] base::`anonymous namespace'::ThreadFunc(void *)
0x75ec3369 [kernel32.dll] + 0x00013369] BaseThreadInitThunk
0x77619f71 [ntdll.dll] + 0x00039f71] __RtlUserThreadStart
0x77619f44 [ntdll.dll] + 0x00039f44] _RtlUserThreadStart

bisect range:
blink:
http://build.chromium.org/f/chromium/perf/dashboard/ui/changelog_blink.html?url=/trunk&range=164401:164381&mode=html

dcheng@, I think this may be related to http://src.chromium.org/viewvc/blink?revision=164390&view=revision. Can you triage this ASAP?",6,1/4/2014,1/10/2014,6,Bug,6,1
333004,Specify direction for all calls to constructTextRun and Font::width,"Follow up to issue 327465 where text direction was made an explicit argument to constructTextRun and Font::width.

We still have a number of call sites where the direction is not specified, this bug tracks updating those.",11,1/10/2014,3/14/2014,63,Bug,1,2
333952,Master bug to track regressions caused by invoking cursor-hiding logic on touch in Desktop Aura,"The blocking issues are regressions in M34 caused by r240976 (for which r240827 was landed as a prerequisite change). These patches have been reverted from M33 (see issue 332477).

ananta@ and I are looking at addressing some of the root causes for the blocking issues, but if these cannot be resolved then we should consider reverting r240976 and r240827 from M34 and re-thinking our approach.",5,1/14/2014,1/18/2014,4,Bug,7,1
335710,2d.text.draw.fontface.notinpage.html is flaky on all platforms,"The following two tests are flaky on all platforms:

virtual/gpu/canvas/philip/tests/2d.text.draw.fontface.notinpage.html
canvas/philip/tests/2d.text.draw.fontface.notinpage.html

The results switch between:
Failed assertion: got pixel [255,0,0,255] at (5,5), expected [0,255,0,255] +/- 2
Failed assertion: got pixel [255,0,0,255] at (95,5), expected [0,255,0,255] +/- 2
Failed assertion: got pixel [255,0,0,255] at (25,25), expected [0,255,0,255] +/- 2

and:
PASSED

http://test-results.appspot.com/dashboards/flakiness_dashboard.html#group=%40ToT%20Blink&showExpectations=true&tests=canvas%2Fphilip%2Ftests%2F2d.text.draw.fontface.notinpage.html%2Chttp%2Ftests%2Fmedia%2Fmedia-source%2Fmediasource-append-stream.html%2Cvirtual%2Fdeferred%2Finspector%2Ftimeline%2Ftimeline-recalculate-styles.html%2Cvirtual%2Fgpu%2Fcanvas%2Fphilip%2Ftests%2F2d.text.draw.fontface.notinpage.html",3,6/18/2014,8/18/2014,61,Bug,1,2
